
kubectl get events -n vcd-ds-workloads
LAST SEEN   TYPE      REASON                   OBJECT                                                          MESSAGE
6m4s        Warning   ProvisioningFailed       persistentvolumeclaim/persistence-rabbitoncluster1-1-server-0   failed to provision volume with StorageClass "default-storage-class-1": rpc error: code = Unknown desc = unable to create disk [pvc-d37e4935-f8ee-4d43-aaff-5d1a808154ea] with sise [10240]MB: [unable to create disk with name [pvc-d37e4935-f8ee-4d43-aaff-5d1a808154ea] size [10240]MB: [unable to post create link [https://10.110.12.23/api/vdc/3d8c61dd-f892-4d1b-9f93-91bc9173605c/disk]: resp: [<nil>]: [error creating Disk with params: [&types.Error{Message:"[ 4acd6ba3-7530-4e7b-9204-97114da4d0d2 ] The requested operation will exceed the VDC's storage quota: storage policy \"vCD Storage Policy Test1\" has -16,384 MB remaining, requested 10,240 MB", MajorErrorCode:400, MinorErrorCode:"STORAGE_QUOTA_EXCEEDED", VendorSpecificErrorCode:"", StackTrace:""}]]]]
91s         Normal    ProvisioningSucceeded    persistentvolumeclaim/persistence-rabbitoncluster1-1-server-0   Successfully provisioned volume pvc-d37e4935-f8ee-4d43-aaff-5d1a808154ea
91s         Warning   FailedScheduling         pod/rabbitoncluster1-1-server-0                                 0/2 nodes are available: 2 pod has unbound immediate PersistentVolumeClaims.
81s         Normal    Scheduled                pod/rabbitoncluster1-1-server-0                                 Successfully assigned vcd-ds-workloads/rabbitoncluster1-1-server-0 to cluster1-worker-node-pool-1-7b58d6bdd9-lkdjx
64s         Normal    SuccessfulAttachVolume   pod/rabbitoncluster1-1-server-0                                 AttachVolume.Attach succeeded for volume "pvc-d37e4935-f8ee-4d43-aaff-5d1a808154ea"
62s         Normal    Pulling                  pod/rabbitoncluster1-1-server-0                                 Pulling image "horhor.dorukcloud.com/myfirstporject/tanzu-rabbitmq-package-repo@sha256:399c3825c5754177d56311e90c7ef7f84a077405370eb65a6d56cba4c21a46b6"
15s         Normal    Pulled                   pod/rabbitoncluster1-1-server-0                                 Successfully pulled image "horhor.dorukcloud.com/myfirstporject/tanzu-rabbitmq-package-repo@sha256:399c3825c5754177d56311e90c7ef7f84a077405370eb65a6d56cba4c21a46b6" in 46.543205953s
15s         Normal    Created                  pod/rabbitoncluster1-1-server-0                                 Created container setup-container
14s         Normal    Started                  pod/rabbitoncluster1-1-server-0                                 Started container setup-container
13s         Normal    Pulled                   pod/rabbitoncluster1-1-server-0                                 Container image "horhor.dorukcloud.com/myfirstporject/tanzu-rabbitmq-package-repo@sha256:399c3825c5754177d56311e90c7ef7f84a077405370eb65a6d56cba4c21a46b6" already present on machine
12s         Normal    Created                  pod/rabbitoncluster1-1-server-0                                 Created container rabbitmq
12s         Normal    Started                  pod/rabbitoncluster1-1-server-0                                 Started container rabbitmq
1s          Warning   Unhealthy                pod/rabbitoncluster1-1-server-0                                 Readiness probe failed: dial tcp 100.96.1.18:5672: connect: connection refused
10m         Normal    SuccessfulCreate         statefulset/rabbitoncluster1-1-server                           create Claim persistence-rabbitoncluster1-1-server-0 Pod rabbitoncluster1-1-server-0 in StatefulSet rabbitoncluster1-1-server success
10m         Normal    SuccessfulCreate         statefulset/rabbitoncluster1-1-server                           create Pod rabbitoncluster1-1-server-0 in StatefulSet rabbitoncluster1-1-server successful
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-nodes of Type *v1.Service
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1 of Type *v1.Service
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-erlang-cookie of Type *v1.Secret
10m         Normal    SuccessfulUpdate         rabbitmqcluster/rabbitoncluster1-1                              updated resource rabbitoncluster1-1-default-user of Type *v1.Secret
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-plugins-conf of Type *v1.ConfigMap
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-server-conf of Type *v1.ConfigMap
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-server of Type *v1.ServiceAccount
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-peer-discovery of Type *v1.Role
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-server of Type *v1.RoleBinding
10m         Normal    SuccessfulCreate         rabbitmqcluster/rabbitoncluster1-1                              created resource rabbitoncluster1-1-server of Type *v1.StatefulSet
18s         Normal    SuccessfulUpdate         rabbitmqcluster/rabbitoncluster1-1                              updated resource rabbitoncluster1-1-nodes of Type *v1.Service
9m21s       Normal    SuccessfulUpdate         rabbitmqcluster/rabbitoncluster1-1                              updated resource rabbitoncluster1-1-server of Type *v1.StatefulSet
36m         Warning   ErrGetKeyPair            issuer/vcd-ds-ca-issuer                                         Error getting keypair for CA issuer: secret "vcd-ds-ca-key-pair" not found
36m         Warning   ErrInitIssuer            issuer/vcd-ds-ca-issuer                                         Error initializing issuer: secret "vcd-ds-ca-key-pair" not found
36m         Normal    KeyPairVerified          issuer/vcd-ds-ca-issuer                                         Signing CA verified

Link :

https://stackoverflow.com/questions/51931113/kubectl-get-events-only-for-a-pod
